"const_code","party"
"1","BSP"
"2","BSP"
"3","BJP"
"4","BSP"
"5","SP"
"6","BSP"
"7","INC"
"8","BJP"
"9","BJP"
"10","INC"
"11","SP"
"12","BSP"
"13","BSP"
"14","SP"
"15","RLD"
"16","BSP"
"17","BSP"
"18","SP"
"19","BSP"
"20","SP"
"21","BSP"
"22","BJP"
"23","BSP"
"24","BJP"
"25","PECP"
"26","BJP"
"27","SP"
"28","SP"
"29","SP"
"30","SP"
"31","SP"
"32","SP"
"33","SP"
"34","INC"
"35","BSP"
"36","INC"
"37","SP"
"38","SP"
"39","SP"
"40","SP"
"41","SP"
"42","SP"
"43","SP"
"44","BJP"
"45","SP"
"46","SP"
"47","BJP"
"48","BJP"
"49","BJP"
"50","RLD"
"51","BSP"
"52","BSP"
"53","BSP"
"54","BSP"
"55","BSP"
"56","BSP"
"57","RLD"
"58","SP"
"59","INC"
"60","SP"
"61","BJP"
"62","BSP"
"63","BSP"
"64","BJP"
"65","BSP"
"66","INC"
"67","BSP"
"68","SP"
"69","SP"
"70","INC"
"71","RLD"
"72","RLD"
"73","SP"
"74","SP"
"75","SP"
"76","SP"
"77","RLD"
"78","BSP"
"79","SP"
"80","BSP"
"81","RLD"
"82","RLD"
"83","BSP"
"84","INC"
"85","RLD"
"86","BSP"
"87","BSP"
"88","BJP"
"89","BJP"
"90","BSP"
"91","BSP"
"92","BSP"
"93","BSP"
"94","SP"
"95","BSP"
"96","SP"
"97","BJP"
"98","SP"
"99","SP"
"100","SP"
"101","BSP"
"102","SP"
"103","SP"
"104","SP"
"105","SP"
"106","SP"
"107","SP"
"108","SP"
"109","SP"
"110","SP"
"111","SP"
"112","SP"
"113","SP"
"114","BSP"
"115","SP"
"116","SP"
"117","BSP"
"118","SP"
"119","BSP"
"120","IEMC"
"121","SP"
"122","SP"
"123","BSP"
"124","BJP"
"125","BJP"
"126","BJP"
"127","SP"
"128","SP"
"129","SP"
"130","BJP"
"131","SP"
"132","BSP"
"133","BSP"
"134","SP"
"135","BJP"
"136","SP"
"137","BSP"
"138","BJP"
"139","SP"
"140","SP"
"141","BSP"
"142","SP"
"143","SP"
"144","BSP"
"145","SP"
"146","SP"
"147","BSP"
"148","BSP"
"149","SP"
"150","SP"
"151","SP"
"152","SP"
"153","SP"
"154","BSP"
"155","SP"
"156","SP"
"157","SP"
"158","SP"
"159","BSP"
"160","SP"
"161","SP"
"162","SP"
"163","SP"
"164","BSP"
"165","SP"
"166","SP"
"167","SP"
"168","SP"
"169","SP"
"170","SP"
"171","SP"
"172","SP"
"173","BJP"
"174","SP"
"175","INC"
"176","SP"
"177","SP"
"178","INC"
"179","SP"
"180","PECP"
"181","SP"
"182","SP"
"183","SP"
"184","INC"
"185","SP"
"186","SP"
"187","SP"
"188","SP"
"189","SP"
"190","SP"
"191","SP"
"192","SP"
"193","SP"
"194","IND"
"195","SP"
"196","SP"
"197","SP"
"198","SP"
"199","SP"
"200","SP"
"201","SP"
"202","SP"
"203","SP"
"204","SP"
"205","SP"
"206","SP"
"207","BSP"
"208","SP"
"209","SP"
"210","SP"
"211","SP"
"212","BJP"
"213","SP"
"214","BJP"
"215","INC"
"216","BJP"
"217","BJP"
"218","SP"
"219","BSP"
"220","INC"
"221","SP"
"222","BSP"
"223","BJP"
"224","SP"
"225","SP"
"226","BSP"
"227","BSP"
"228","BJP"
"229","INC"
"230","BSP"
"231","BJP"
"232","INC"
"233","SP"
"234","BSP"
"235","INC"
"236","SP"
"237","BSP"
"238","SP"
"239","BSP"
"240","SP"
"241","BSP"
"242","BSP"
"243","BJP"
"244","INC"
"245","IND"
"246","IND"
"247","SP"
"248","SP"
"249","SP"
"250","SP"
"251","BJP"
"252","BSP"
"253","BSP"
"254","SP"
"255","SP"
"256","SP"
"257","SP"
"258","SP"
"259","SP"
"260","BSP"
"261","BSP"
"262","INC"
"263","SP"
"264","SP"
"265","BSP"
"266","SP"
"267","SP"
"268","SP"
"269","SP"
"270","SP"
"271","BJP"
"272","SP"
"273","SP"
"274","SP"
"275","SP"
"276","SP"
"277","SP"
"278","SP"
"279","SP"
"280","SP"
"281","SP"
"282","BJP"
"283","INC"
"284","SP"
"285","BSP"
"286","SP"
"287","INC"
"288","BJP"
"289","SP"
"290","SP"
"291","SP"
"292","SP"
"293","SP"
"294","SP"
"295","SP"
"296","SP"
"297","BJP"
"298","SP"
"299","SP"
"300","SP"
"301","SP"
"302","SP"
"303","SP"
"304","BJP"
"305","SP"
"306","PECP"
"307","SP"
"308","BSP"
"309","INC"
"310","BSP"
"311","SP"
"312","SP"
"313","PECP"
"314","SP"
"315","BJP"
"316","INC"
"317","SP"
"318","SP"
"319","BSP"
"320","NCP"
"321","SP"
"322","BJP"
"323","BJP"
"324","BSP"
"325","BJP"
"326","BSP"
"327","BSP"
"328","BSP"
"329","INC"
"330","BSP"
"331","INC"
"332","BJP"
"333","SP"
"334","SP"
"335","SP"
"336","INC"
"337","BJP"
"338","SP"
"339","SP"
"340","SP"
"341","SP"
"342","SP"
"343","SP"
"344","SP"
"345","SP"
"346","BSP"
"347","SP"
"348","SP"
"349","SP"
"350","SP"
"351","SP"
"352","SP"
"353","BSP"
"354","SP"
"355","SP"
"356","QED"
"357","SP"
"358","BSP"
"359","SP"
"360","BJP"
"361","SP"
"362","SP"
"363","SP"
"364","SP"
"365","SP"
"366","INC"
"367","SP"
"368","BJP"
"369","SP"
"370","SP"
"371","SP"
"372","SP"
"373","SP"
"374","SP"
"375","SP"
"376","SP"
"377","SP"
"378","QED"
"379","SP"
"380","BSP"
"381","IND"
"382","IND"
"383","SP"
"384","INC"
"385","BSP"
"386","BSP"
"387","AD"
"388","BJP"
"389","BJP"
"390","BJP"
"391","SP"
"392","SP"
"393","SP"
"394","SP"
"395","SP"
"396","SP"
"397","BSP"
"398","SP"
"399","INC"
"400","SP"
"401","SP"
"402","BSP"
"403","IND"
